Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_SMD_HandSolder,1,RaspberryPi_Pico,C41407547
C1,0603,1,100nF,C14663
"C2, C3, C4, C5, C6",0603,5,10uF,C19702
C7,1206,1,100uF,C15008
"D1, D2, D3",LED_WS2812B-2020_PLCC4_2.0x2.0mm,3,WS2812B-2020,C965555
J1,MOLEX_1051620001,1,1051620001,C3177046
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Socket,C160403
"J3, J4, J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3,Conn_01x04_Socket,C160404
"R1, R12, R13, R15, R16, R17, R18, R2, R3, R4, R5",0603,11,10k,C25804
"R10, R11, R6, R7, R8, R9",0603,6,33,C23140
R14,0603,1,470,C23179
RST1,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,SW_SPST,C843674
"U3, U4",SOT-23-5,2,AP2112K-3.3,C51118
