Designator,Mid X,Mid Y,Rotation,Layer
A1,100.0,-125.0,90.0,top
C1,121.5,-158.25,0.0,top
C2,121.5,-160.0,0.0,top
C3,95.75,-142.75,270.0,top
C4,95.75,-146.1375,90.0,top
C5,85.75,-106.5,0.0,top
C6,89.0,-107.25,90.0,top
C7,91.0,-108.0,90.0,top
D1,106.0,-108.5,0.0,top
D2,100.0,-108.5,0.0,top
D3,94.0,-108.5,0.0,top
J1,122.5,-151.0,270.0,top
J2,114.7,-108.75,180.0,top
J3,77.5,-145.0,270.0,top
J4,87.5,-158.0,0.0,top
J5,97.75,-158.0,0.0,top
R1,102.0,-147.0,0.0,top
R10,111.5,-139.5,90.0,top
R11,109.0,-139.5,90.0,top
R12,102.0,-145.0,0.0,top
R13,92.75,-141.0,180.0,top
R14,108.0,-112.0,0.0,top
R15,86.75,-143.5,0.0,top
R16,86.75,-145.25,0.0,top
R17,82.75,-143.5,0.0,top
R18,82.75,-145.25,0.0,top
R2,102.0,-149.0,0.0,top
R3,102.0,-153.0,0.0,top
R4,102.0,-151.0,0.0,top
R5,118.25,-159.25,90.0,top
R6,124.0,-139.5,90.0,top
R7,121.5,-139.5,90.0,top
R8,116.5,-139.5,90.0,top
R9,114.0,-139.5,90.0,top
RST1,102.575,-140.575,0.0,top
U3,92.75,-144.5,90.0,top
U4,85.75,-109.25,180.0,top
